battery,maybe,maybe,Dry batteries are allowed in both check-in and carry-on. Spillable batteries and Lithium ion batteries with 100+ watt hours are not allowed in both. Please check more info.,Lithium batteries are not allowed in check-in luggage. Please check more info for other details.,https://www.tsa.gov/travel/security-screening/whatcanibring/all?combine=Devices&page=1,31_drycell_battery.jpg,TXT-2000 AA DURACELL MN1500 LR6 1.5 VOLTS ALKALINE BATTERY,OBJ-Battery (0.90),Brown (0.98),Battery (0.85),Multipurpose battery (0.81),Plant (0.79),Cosmetics (0.79),Cylinder (0.79),Tints and shades (0.77),Font (0.74),Drink (0.66),Liquid (0.63),,,,,,,,,
gas,no,no,Gasoline in any form is not allowed in carry-on.,Gasoline in any form is not allowed in carry-on.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/gasoline,34_gasoline.jfif,TXT-,OBJ-Portable stove (0.61),Bottle (0.86),Plant (0.85),Cylinder (0.78),Gas (0.78),Fender (0.78),Grass (0.73),Automotive wheel system (0.73),Automotive lighting (0.72),Plastic (0.70),Auto part (0.69),,,,,,,,,
scissors,no,yes,Tools that could be used as bludgeon are not allowed in carry-on baggage.,Any sharp objects in checked bags should be sheathed or securely wrapped to prevent injury to baggage handlers and inspectors.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/axes-and-hatchets,38_scissors.jfif,TXT-,OBJ-Scissors (0.94),Tool (0.89),Scissors (0.89),Office instrument (0.88),Office supplies (0.81),Material property (0.80),Font (0.77),Eyewear (0.76),Bicycle part (0.75),Electric blue (0.73),Eye glass accessory (0.73),,,,,,,,,
computer,yes,yes,Devices are allowed in carry-on baggage.,Devices are allowed in check-in baggage.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/laptops,4_labtop.jfif,TXT-,OBJ-Laptop (0.95),OBJ-Computer keyboard (0.73),Computer (0.98),Personal computer (0.96),Laptop (0.95),Touchpad (0.94),Netbook (0.93),Input device (0.92),Output device (0.92),Webcam (0.91),Space bar (0.89),Table (0.88),,,,,,,,
gas,no,no,Gasoline in any form is not allowed in carry-on.,Gasoline in any form is not allowed in carry-on.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/gasoline,5_laptop.jpg,TXT-,OBJ-Table (0.62),Rectangle (0.86),Wood (0.85),Grey (0.84),Road surface (0.84),Floor (0.83),Asphalt (0.83),Composite material (0.80),Gas (0.78),Flooring (0.77),Tints and shades (0.76),,,,,,,,,
laptop,yes,yes,Devices are allowed in carry-on baggage.,Devices are allowed in check-in baggage.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/laptops,6_laptop.jpg,TXT-M India,OBJ-Luggage & bags (0.82),Netbook (0.95),Laptop (0.93),Granny smith (0.87),Sleeve (0.86),Gesture (0.85),Gadget (0.84),Laptop part (0.81),Material property (0.80),Computer (0.80),Wallet (0.77),,,,,,,,,
shoe,yes,yes,Shoes are allowed in carry-on baggage.,Shoes are allowed in check-in baggage.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/belts-clothes-and-shoes,ALLOWED_baby_carrier.jpg,TXT-,OBJ-Backpack (0.75),Bag (0.83),Luggage and bags (0.75),Electric blue (0.74),Outdoor shoe (0.72),Font (0.71),Fashion accessory (0.68),Strap (0.62),Sports gear (0.62),Personal protective equipment (0.58),Athletic shoe (0.56),,,,,,,,,
ball,yes,yes,Balls are allowed in carry-on baggage.,Balls are allowed in check-in baggage.,https://www.tsa.gov/travel/security-screening/whatcanibring/all?combine=&page=2,ALL_basket_ball.jpg,TXT-eoeote Laather DN,OBJ-Basketball (0.97),Basketball (0.99),Sports equipment (0.95),Ball (0.89),Basketball (0.88),Wood (0.88),Basketball court (0.82),Wood stain (0.81),Flooring (0.80),Hardwood (0.79),Tints and shades (0.76),,,,,,,,,
belt,yes,yes,Belts are allowed in carry-on baggage.,Belts are allowed in check-in baggage.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/belts-clothes-and-shoes,ALL_belts.jpg,TXT-,OBJ-Belt (0.96),Product (0.91),Automotive lighting (0.89),Rectangle (0.83),Automotive tire (0.81),Material property (0.80),Font (0.79),Auto part (0.77),Electric blue (0.73),Synthetic rubber (0.73),Belt (0.72),,,,,,,,,
belt,yes,yes,Belts are allowed in carry-on baggage.,Belts are allowed in check-in baggage.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/belts-clothes-and-shoes,ALL_belt_1.jpg,TXT-,OBJ-Belt (0.97),Belt buckle (0.91),Belt (0.81),Rectangle (0.78),Bag (0.77),Collar (0.75),Electric blue (0.73),Gadget (0.72),Strap (0.71),Watch accessory (0.70),Jewellery (0.70),,,,,,,,,
bullet,no,maybe,Ammunation is not allowed in carry-on baggage.,Check with your airline if ammunition is allowed in checked bags. Small arms ammunitions must be securely packed in fiber/wood or metal boxes or other packaging specifically designed to carry small amounts of ammunition.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/ammunition,ALL_binoculars.jpg,TXT-2123RF� O123RF 0123RF 123RF,OBJ-Binoculars (0.97),Wood (0.86),Automotive lighting (0.83),Drinkware (0.82),Bullet (0.82),Opera glasses (0.81),Cylinder (0.77),Household hardware (0.77),Gun accessory (0.74),Personal protective equipment (0.73),Ammunition (0.72),,,,,,,,,
beer,maybe,yes,Mini bottles of alcohol in carry-on must be able to comfortably fit into a single quart-sized bag.,Alcoholic beverages with more than 24% but not more than 70% alcohol are limited in checked bags to 5 liters (1.3 gallons) per passenger and must be in unopened retail packaging. Alcoholic beverages with 24% alcohol or less are not subject to limitations in checked bags. Alcohol beverages with more than 70% alcohol are not allowed in check-in or cabin.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/alcoholic-beverages,ALL_bottle_opener.jpg,TXT-,OBJ-Kitchenware (0.89),OBJ-Tableware (0.73),OBJ-Food (0.53),Hand tool (0.94),Wood (0.88),Tool (0.84),Tableware (0.83),Kitchen utensil (0.81),Crosscut saw (0.81),Wrench (0.81),Ingredient (0.78),Leaf vegetable (0.75),Beer (0.75),,,,,,,
tobacco,yes,yes,Cigerattes are allowed in carry-on baggage.,Cigerattes are allowed in check-in baggage.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/cigarettes,ALL_cig.jpg,TXT-20 CLAS S A CIGARETTES FSC 02835727 CIGA RET TES PM USA mper Marlhurn Marlboro PHILIP MORRIS USA RICHMOND, VA 23261,OBJ-1D barcode (0.94),Tobacco (0.90),Cigarette (0.87),Font (0.83),Material property (0.80),Packing materials (0.78),Carton (0.77),Packaging and labeling (0.74),Rectangle (0.72),Tobacco products (0.67),Carmine (0.67),,,,,,,,
tobacco,yes,yes,Cigerattes are allowed in carry-on baggage.,Cigerattes are allowed in check-in baggage.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/cigarettes,ALL_cigarjpg.jpg,TXT-Na Ma Caoo,OBJ-Packaged goods (0.84),OBJ-Packaged goods (0.75),OBJ-Packaged goods (0.74),OBJ-Packaged goods (0.61),Tobacco (0.89),Cigarette (0.86),Cigar (0.78),Chemical compound (0.69),Wood (0.68),Tobacco products (0.67),Font (0.63),Box (0.55),Packaging and labeling (0.55),Brand (0.54),,,,,,
ball,yes,yes,Balls are allowed in carry-on baggage.,Balls are allowed in check-in baggage.,https://www.tsa.gov/travel/security-screening/whatcanibring/all?combine=&page=2,ALL_cricket_ball.jpg,TXT-ETHER,OBJ-Cricket ball (0.82),Sports equipment (0.90),Ball (0.88),Tile flooring (0.78),Gas (0.78),Wood (0.78),Tints and shades (0.77),Magenta (0.76),Flooring (0.74),Circle (0.73),Cricket ball (0.71),,,,,,,,,
battery,maybe,maybe,Dry batteries are allowed in both check-in and carry-on. Spillable batteries and Lithium ion batteries with 100+ watt hours are not allowed in both. Please check more info.,Lithium batteries are not allowed in check-in luggage. Please check more info for other details.,https://www.tsa.gov/travel/security-screening/whatcanibring/all?combine=Devices&page=1,ALL_dry_batteries.jpg,TXT-Green energy, easy life 1.5V Extra heavy duty CAUTION:May explode or leak if recharged inserted improperly or disposed of in fire D not onan haen R6P.AA.UM-3 ROP.AA.UM-3 1.5V Extra heavy duty PK CELL R Green enerex easr e ROP.AA.UM-3 R6P.AA.UM-3 MERCURY& CADMIUM FREE 1.5V Extra heavy duty R6P.AA.UM-3 MERCURY&CADMIUM FREE 1.5V Extra heavy duty PLCEL PLCEI,OBJ-Battery (0.90),OBJ-Battery (0.89),OBJ-Battery (0.86),OBJ-Battery (0.86),OBJ-Battery (0.83),OBJ-Battery (0.80),OBJ-Battery (0.80),OBJ-Battery (0.74),Liquid (0.93),Tin (0.90),Drink (0.84),Aluminum can (0.82),Packaging and labeling (0.79),Font (0.79),Soft drink (0.78),Cylinder (0.78),Beverage can (0.77),Battery (0.73),
flashlight,yes,yes,Flashlights are allowed in carry-on baggage.,Flashlight are allowed in check-in baggage.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/flashlights,ALL_flashlight-2400x1600.jpg,TXT-NIXUC35,OBJ-Flashlight (0.67),Microphone (0.95),Camera accessory (0.83),Audio equipment (0.80),Gadget (0.79),Electronic device (0.73),Multimedia (0.71),Cable (0.68),Font (0.68),Metal (0.65),Cylinder (0.64),,,,,,,,,
ball,yes,yes,Balls are allowed in carry-on baggage.,Balls are allowed in check-in baggage.,https://www.tsa.gov/travel/security-screening/whatcanibring/all?combine=&page=2,ALL_football.jpg,TXT-,OBJ-Football (0.93),Sports equipment (0.94),Football (0.90),Ball (0.88),Wood (0.82),Soccer (0.80),Soccer ball (0.77),Ball game (0.73),Beach soccer (0.70),Sports (0.69),Team sport (0.65),,,,,,,,,
ball,yes,yes,Balls are allowed in carry-on baggage.,Balls are allowed in check-in baggage.,https://www.tsa.gov/travel/security-screening/whatcanibring/all?combine=&page=2,ALL_football_display.jpg,TXT-APC NATIONAL FOOTBALL LEAGUE Wiban Knader er glass GasslieplayCases com AcryseDiapiayCases.com FREE ENGKAVING CIEAHALTER,OBJ-Rugby ball (0.95),OBJ-Luggage & bags (0.55),Tableware (0.95),Serveware (0.79),Dishware (0.78),Gas (0.78),Cookware and bakeware (0.77),Sculpture (0.77),Barware (0.72),Art (0.71),Drink (0.71),Glass (0.70),,,,,,,,
shoe,yes,yes,Shoes are allowed in carry-on baggage.,Shoes are allowed in check-in baggage.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/belts-clothes-and-shoes,ALL_High-Heel-Damage-To-Hardwood-Floors.jpg,TXT-,OBJ-Shoe (0.96),OBJ-Shoe (0.95),Wood (0.88),Beige (0.84),Flooring (0.83),Floor (0.83),Hardwood (0.80),Laminate flooring (0.78),Wood stain (0.78),Plank (0.74),Human leg (0.73),Plywood (0.72),,,,,,,,
shoe,yes,yes,Shoes are allowed in carry-on baggage.,Shoes are allowed in check-in baggage.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/belts-clothes-and-shoes,ALL_holidays-heels.jpg,TXT-,OBJ-Shoe (0.94),OBJ-Shoe (0.83),Footwear (0.98),Leg (0.92),Human body (0.89),Basic pump (0.88),Wood (0.87),High heels (0.77),Beige (0.74),Hardwood (0.72),Foot (0.72),Varnish (0.71),,,,,,,,
flashlight,yes,yes,Flashlights are allowed in carry-on baggage.,Flashlight are allowed in check-in baggage.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/flashlights,ALL_LED_Flashlights.jpg,TXT-,OBJ-Flashlight (0.95),OBJ-Flashlight (0.94),Automotive tire (0.93),Camera accessory (0.90),Window (0.87),Cameras & optics (0.83),Bumper (0.82),Wood (0.81),Rim (0.80),Automotive wheel system (0.79),Gas (0.78),Font (0.75),,,,,,,,
ball,yes,yes,Balls are allowed in carry-on baggage.,Balls are allowed in check-in baggage.,https://www.tsa.gov/travel/security-screening/whatcanibring/all?combine=&page=2,ALL_rugby-ball.jpg,TXT-adidas TORPEDO RESPECT aasiCHALLENGE LUR MAICHe,OBJ-Rugby ball (0.97),Sports equipment (0.95),Football (0.93),Playing sports (0.92),Ball (0.89),Plant (0.89),Player (0.84),Grass (0.82),Soccer ball (0.80),Rugby ball (0.80),Wood (0.80),,,,,,,,,
water,maybe,yes,Less than 3.4oz/100 ml allowed,All allowed.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/bottled-water,ALL_sandals.jpg,TXT-PORF 2 123 23RF 123RF 123RF 123RF,OBJ-Sandal (0.88),OBJ-Sandal (0.86),Water (0.98),Azure (0.89),Table (0.89),Wood (0.89),Plant (0.87),Outdoor furniture (0.85),Road surface (0.84),Lake (0.79),Leisure (0.79),Tree (0.77),,,,,,,,
shoe,yes,yes,Shoes are allowed in carry-on baggage.,Shoes are allowed in check-in baggage.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/belts-clothes-and-shoes,ALL_shoes.jpg,TXT-,OBJ-Shoe (0.91),OBJ-Shoe (0.77),Wood (0.88),Wood stain (0.81),Hardwood (0.80),Flooring (0.79),Walking shoe (0.78),Varnish (0.78),Plank (0.76),Cutlery (0.75),Athletic shoe (0.71),Plywood (0.70),,,,,,,,
shoe,yes,yes,Shoes are allowed in carry-on baggage.,Shoes are allowed in check-in baggage.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/belts-clothes-and-shoes,ALL_shoes_1.jpg,TXT-,OBJ-Shoe (0.90),OBJ-Shoe (0.85),OBJ-Footwear (0.79),Footwear (0.98),Shoe (0.95),Walking shoe (0.86),Wood (0.86),Flooring (0.79),Sneakers (0.77),Beige (0.74),Font (0.74),Outdoor shoe (0.72),Hardwood (0.72),,,,,,,
trimmer,yes,yes,Trimmers are allowed in carry-on baggage.,Trimmers are allowed in check-in baggage.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/electric-razors,ALL_trimmer.jpg,TXT-PHILIPS PHORELCO Onelade,OBJ-Grooming trimmer (0.96),Tire (0.94),Automotive tire (0.88),Liquid (0.82),Drink (0.81),Font (0.77),Tints and shades (0.75),Bottle (0.73),Cylinder (0.73),Automotive wheel system (0.73),Rim (0.71),,,,,,,,,
trimmer,yes,yes,Trimmers are allowed in carry-on baggage.,Trimmers are allowed in check-in baggage.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/electric-razors,ALL_trimmers.jpg,TXT-PHILIPS NORELCO Series 1000,OBJ-Grooming trimmer (0.97),Camera accessory (0.84),Audio equipment (0.81),Cylinder (0.76),Gadget (0.74),Font (0.72),Communication Device (0.69),Auto part (0.65),Bicycle part (0.64),Multimedia (0.63),Carbon (0.63),,,,,,,,,
beer,maybe,yes,Mini bottles of alcohol in carry-on must be able to comfortably fit into a single quart-sized bag.,Alcoholic beverages with more than 24% but not more than 70% alcohol are limited in checked bags to 5 liters (1.3 gallons) per passenger and must be in unopened retail packaging. Alcoholic beverages with 24% alcohol or less are not subject to limitations in checked bags. Alcohol beverages with more than 70% alcohol are not allowed in check-in or cabin.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/alcoholic-beverages,beer_can_on_table.jpg,TXT-Ay any other Dre exclusive Beechwood Aning produces a tasta, ma and a drinkability you will find in no other beer d NED AB TRADE MARK REGIS Budwo vel KING OF BEER WED BY OUR ORIGINAL CEST HOPS, RICE AND BEST HEUSER BUSC PROCE LUROP AFRICA,OBJ-Packaged goods (0.81),Tin (0.97),Beverage can (0.96),Aluminum can (0.95),Tin can (0.93),Beer (0.90),Drink (0.86),Alcoholic beverage (0.82),Ingredient (0.81),Soft drink (0.80),Cylinder (0.79),,,,,,,
beer,maybe,yes,Mini bottles of alcohol in carry-on must be able to comfortably fit into a single quart-sized bag.,Alcoholic beverages with more than 24% but not more than 70% alcohol are limited in checked bags to 5 liters (1.3 gallons) per passenger and must be in unopened retail packaging. Alcoholic beverages with 24% alcohol or less are not subject to limitations in checked bags. Alcohol beverages with more than 70% alcohol are not allowed in check-in or cabin.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/alcoholic-beverages,beer_in_hand.jpg,TXT-Cran-bi New Glarus Bing,OBJ-Footwear (0.85),OBJ-Bottled and jarred packaged goods (0.79),OBJ-Person (0.74),OBJ-Person (0.57),Hand (0.96),Bottle (0.95),Glass bottle (0.87),Finger (0.84),Drink (0.84),Beer (0.83),Alcoholic beverage (0.83),Beer bottle (0.80),Nail (0.79),Thumb (0.76),,,,,,
gas,no,no,Gasoline in any form is not allowed in carry-on.,Gasoline in any form is not allowed in carry-on.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/gasoline,binoculars.jpg,TXT-123RF 123RF,OBJ-Binoculars (0.94),Camera lens (0.89),Wood (0.87),Camera accessory (0.86),Audio equipment (0.82),Gadget (0.81),Lens (0.78),Gas (0.77),Cameras & optics (0.77),Cable (0.76),Auto part (0.71),,,,,,,,,
gun,no,maybe,Firearms are not allowed in carry-on baggage.,Check with your airline to see if they allow firearms in checked bags.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/bb-guns,bullets_in_hand.jpg,TXT-,OBJ-Packaged goods (0.81),OBJ-Packaged goods (0.70),OBJ-Packaged goods (0.67),OBJ-Packaged goods (0.61),Finger (0.85),Material property (0.80),Gun accessory (0.74),Thumb (0.74),Nail (0.73),Household hardware (0.70),Metal (0.69),Fashion accessory (0.67),Ammunition (0.67),Bullet (0.65),,,,,,
alcoholic,maybe,yes,Mini bottles of alcohol in carry-on must be able to comfortably fit into a single quart-sized bag.,Alcoholic beverages with more than 24% but not more than 70% alcohol are limited in checked bags to 5 liters (1.3 gallons) per passenger and must be in unopened retail packaging. Alcoholic beverages with 24% alcohol or less are not subject to limitations in checked bags. Alcohol beverages with more than 70% alcohol are not allowed in check-in or cabin.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/alcoholic-beverages,chivas_in_hand.jpg,TXT-SPECIA INARA BUNAITEACHO TREIBHIRE FOUNDED 1801 CHIVAS REGAL MIZUNARA BLENDED FROM A HAND SELECTION OF THE FINEST MALT AND GRAIN WHISKIES THIS SPECIAL EDITION HAS AN EXCEPTIONAL SMOOTH CHARACTER AND FINISH BLENDED SCOTCH WHISKY SPECIAL EDITION MUNARA HAS BEEN PECIALLYTOR THE CHRRY ENTHUSIAST SMOOTH AND AEL TOUCH OF STICE HS SIGNATURE CHIFAS Colin Set OROCE CHIVAS GROTHERS DISTILLERS KETSOH MASTER BLENDER OF CHIVAS REGAL,OBJ-Packaged goods (0.83),Bottle (0.96),Liquid (0.95),Solution (0.87),Fluid (0.87),Drink (0.85),Glass bottle (0.84),Alcoholic beverage (0.83),Alcohol (0.73),Solvent (0.71),Bottle cap (0.70),,,,,,,,,
alcoholic,maybe,yes,Mini bottles of alcohol in carry-on must be able to comfortably fit into a single quart-sized bag.,Alcoholic beverages with more than 24% but not more than 70% alcohol are limited in checked bags to 5 liters (1.3 gallons) per passenger and must be in unopened retail packaging. Alcoholic beverages with 24% alcohol or less are not subject to limitations in checked bags. Alcohol beverages with more than 70% alcohol are not allowed in check-in or cabin.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/alcoholic-beverages,corona_in_hand.jpg,TXT-Corona Extra LA CERVEZA MAS FINA BEER Bwed and kottled by CERVECERIA MODELO MEXICO 12 FL,OBJ-Packaged goods (0.87),OBJ-Packaged goods (0.62),OBJ-Bottled and jarred packaged goods (0.62),OBJ-Packaged goods (0.60),Bottle (0.96),Liquid (0.95),Bottle cap (0.89),Fluid (0.87),Solution (0.87),Drinkware (0.85),Alcoholic beverage (0.84),Glass bottle (0.83),Amber (0.82),Drink (0.81),,,,,,
gas,no,no,Gasoline in any form is not allowed in carry-on.,Gasoline in any form is not allowed in carry-on.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/gasoline,flameless-cigarette-lighter-250x250.jpg,TXT-,Liquid (0.92),Fluid (0.87),Gesture (0.85),Communication Device (0.85),Finger (0.84),Gadget (0.82),Thumb (0.80),Font (0.77),Gas (0.77),Tints and shades (0.76),,,,,,,,,,
scissors,no,yes,Tools that could be used as bludgeon are not allowed in carry-on baggage.,Any sharp objects in checked bags should be sheathed or securely wrapped to prevent injury to baggage handlers and inspectors.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/axes-and-hatchets,n_n_gunlighter.jfif,TXT-,OBJ-Scissors (0.75),Vision care (0.93),Eye glass accessory (0.88),Eyewear (0.79),Tints and shades (0.77),Personal protective equipment (0.75),Font (0.74),Auto part (0.70),Glass (0.67),Fashion accessory (0.66),Paint (0.61),,,,,,,,,
gas,no,no,Gasoline in any form is not allowed in carry-on.,Gasoline in any form is not allowed in carry-on.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/gasoline,n_n_liquidBleach.jpg,TXT-33% MORE S IOR a CLOROX Germicidal Bleach. Kills 99.9% of Germs S K Hold and Mildew Oininates Odon, Whitens and Deecti alallliilaitata lild.alla,OBJ-Bottle (0.84),Liquid (0.95),Bottle (0.89),Fluid (0.87),Household supply (0.85),Personal care (0.81),Plastic bottle (0.79),Gas (0.78),Service (0.77),Bottle cap (0.72),Plastic (0.70),,,,,,,,
knife,no,yes,Tools that could be used as bludgeon are not allowed in carry-on baggage.,Any sharp objects in checked bags should be sheathed or securely wrapped to prevent injury to baggage handlers and inspectors.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/axes-and-hatchets,n_y_kirpans.jfif,TXT-SInhMusepm com,OBJ-Knife (0.90),Watch (0.86),Blade (0.72),Knife (0.71),Tool (0.69),Dagger (0.69),Natural material (0.68),Metal (0.67),Fashion accessory (0.67),Everyday carry (0.66),Wood (0.66),,,,,,,,,
gas,no,no,Gasoline in any form is not allowed in carry-on.,Gasoline in any form is not allowed in carry-on.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/gasoline,n_y_magic8Ball.jfif,TXT-Netix & Chll,OBJ-Alarm clock (0.89),Camera lens (0.89),Camera accessory (0.85),Cameras & optics (0.81),Automotive tire (0.81),Lens (0.80),Rim (0.80),Gas (0.77),Carbon (0.76),Electric blue (0.74),Automotive wheel system (0.71),,,,,,,,,
gas,no,no,Gasoline in any form is not allowed in carry-on.,Gasoline in any form is not allowed in carry-on.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/gasoline,res_y_liquidsoap.jfif,TXT-STRAWBERRY SHOMER GEL FRAISE L DOUCHE,OBJ-Bottled and jarred packaged goods (0.83),Bottle (0.97),Liquid (0.95),Fluid (0.87),Drink (0.86),Solution (0.84),Bottle cap (0.80),Personal care (0.79),Gas (0.77),Plastic bottle (0.76),Solvent (0.73),,,,,,,,,
